Abbreviation,Description,Reaction,GPR,Genes,Proteins,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence Score,EC Number,Notes,References
1.2.1.2-RXN_Dark_m_M1,1.2.1.2-RXN_Dark_m,FORMATE_Dark_m_M1 + NAD_Dark_m_M1 --> CARBON-DIOXIDE_Dark_m_M1 + NADH_Dark_m_M1,,,,,0,0,1000,0,,,,
1.2.1.2-RXN_Dark_m_M2,1.2.1.2-RXN_Dark_m,FORMATE_Dark_m_M2 + NAD_Dark_m_M2 --> CARBON-DIOXIDE_Dark_m_M2 + NADH_Dark_m_M2,,,,,0,0,1000,0,,,,
1.2.1.2-RXN_Dark_p_M1,1.2.1.2-RXN_Dark_p,FORMATE_Dark_p_M1 + NAD_Dark_p_M1 --> CARBON-DIOXIDE_Dark_p_M1 + NADH_Dark_p_M1,,,,,0,0,1000,0,,,,
1.2.1.2-RXN_Dark_p_M2,1.2.1.2-RXN_Dark_p,FORMATE_Dark_p_M2 + NAD_Dark_p_M2 --> CARBON-DIOXIDE_Dark_p_M2 + NADH_Dark_p_M2,,,,,0,0,1000,0,,,,
1.2.1.2-RXN_Light_m_M1,1.2.1.2-RXN_Light_m,FORMATE_Light_m_M1 + NAD_Light_m_M1 --> CARBON-DIOXIDE_Light_m_M1 + NADH_Light_m_M1,,,,,0,0,1000,0,,,,
1.2.1.2-RXN_Light_m_M2,1.2.1.2-RXN_Light_m,FORMATE_Light_m_M2 + NAD_Light_m_M2 --> CARBON-DIOXIDE_Light_m_M2 + NADH_Light_m_M2,,,,,0,0,1000,0,,,,
1.2.1.2-RXN_Light_p_M1,1.2.1.2-RXN_Light_p,FORMATE_Light_p_M1 + NAD_Light_p_M1 --> CARBON-DIOXIDE_Light_p_M1 + NADH_Light_p_M1,,,,,0,0,1000,0,,,,
1.2.1.2-RXN_Light_p_M2,1.2.1.2-RXN_Light_p,FORMATE_Light_p_M2 + NAD_Light_p_M2 --> CARBON-DIOXIDE_Light_p_M2 + NADH_Light_p_M2,,,,,0,0,1000,0,,,,
1.2.1.9-RXN_Dark_c_M1,1.2.1.9-RXN_Dark_c,GAP_Dark_c_M1 + NADP_Dark_c_M1 --> G3P_Dark_c_M1 + NADPH_Dark_c_M1,,,,,0,0,1000,0,,,,
1.2.1.9-RXN_Dark_c_M2,1.2.1.9-RXN_Dark_c,GAP_Dark_c_M2 + NADP_Dark_c_M2 --> G3P_Dark_c_M2 + NADPH_Dark_c_M2,,,,,0,0,1000,0,,,,
